name,address,latitud,longitud,Location
Hotel Parador Guanica 1929,"Carr 3116 Km 2.5, Avenida Los Veteranos, Guanica 00647 , Puerto Rico",17.971779,-66.927818,"Carr 3116 Km 2.5, Avenida Los Veteranos, Guanica 00647 , Puerto Rico
(17.971779, -66.927818)"
Hotel Colombus,"Carr# 441 KM. 1.5 Bo. Carrizales, Aguada 00602, Puerto Rico",18.392975,-67.193878,"Carr# 441 KM. 1.5 Bo. Carrizales, Aguada 00602, Puerto Rico
(18.392975, -67.193878)"
Parador Costa del Mar,"Carr Panoramica Rd 901, Km 5.6 | PO Box 1746, Yabucoa 00767, Puerto Rico",18.033583,-65.832993,"Carr Panoramica Rd 901, Km 5.6 | PO Box 1746, Yabucoa 00767, Puerto Rico
(18.033583, -65.832993)"
Wyndham Garden at Palmas del Mar,"170 Candelero Dr, Humacao 00791, Puerto Rico (Formerly Four Points by Sheraton)",18.088654,-65.796471,"170 Candelero Dr, Humacao 00791, Puerto Rico (Formerly Four Points by Sheraton)
(18.088654, -65.796471)"
Hotel Plaza De Armas,"Calle San Jose 202, San Juan 00907, Puerto Rico",18.465166,-66.116669,"Calle San Jose 202, San Juan 00907, Puerto Rico
(18.465166, -66.116669)"
Embassy Suites Dorado del Mar Beach Resort,"201 Dorado Del Mar Boulevard, Dorado 00646, Puerto Rico",18.476923,-66.273346,"201 Dorado Del Mar Boulevard, Dorado 00646, Puerto Rico
(18.476923, -66.273346)"
Hotel La Playa,"6 Calle Amapola, Isla Verde, Carolina 00979, Puerto Rico",18.446167,-66.016167,"6 Calle Amapola, Isla Verde, Carolina 00979, Puerto Rico
(18.446167, -66.016167)"
Parador Villas Sotomayor,"Car. 123 km 36.6 Int 522 Km 0.2, Adjuntas 00601, Puerto Rico",18.163059,-66.723534,"Car. 123 km 36.6 Int 522 Km 0.2, Adjuntas 00601, Puerto Rico
(18.163059, -66.723534)"
Caribe Hilton San Juan,"1 San Geronimo Street, San Juan 00901, Puerto Rico",18.463667,-66.085335,"1 San Geronimo Street, San Juan 00901, Puerto Rico
(18.463667, -66.085335)"
Sheraton Old San Juan Hotel & Casino,"100 Brumbaugh Street | Old San Juan, San Juan 00901, Puerto Rico",18.46409,-66.112427,"100 Brumbaugh Street | Old San Juan, San Juan 00901, Puerto Rico
(18.46409, -66.112427)"
Acacia Boutique Hotel,"8 Taft St | Condado, San Juan 00911, Puerto Rico",18.45368,-66.060097,"8 Taft St | Condado, San Juan 00911, Puerto Rico
(18.45368, -66.060097)"
Holiday Inn Ponce & Tropical Casino,"3315 Ponce Bypass, Ponce 00728, Puerto Rico",17.984119,-66.658112,"3315 Ponce Bypass, Ponce 00728, Puerto Rico
(17.984119, -66.658112)"
Hacienda Gripinas,"Rte 527 Km 2.5, Jayuya 00664, Puerto Rico",18.2194,-66.590927,"Rte 527 Km 2.5, Jayuya 00664, Puerto Rico
(18.2194, -66.590927)"
Wyndham Grand Rio Mar Beach Resort & Spa,"6000 Rio Mar Boulevard, Rio Grande 00745, Puerto Rico",18.388393,-65.755325,"6000 Rio Mar Boulevard, Rio Grande 00745, Puerto Rico
(18.388393, -65.755325)"
Hotel Milano,"Calle Fortaleza 307 | Old San Juan, San Juan 00901, Puerto Rico",18.465441,-66.113808,"Calle Fortaleza 307 | Old San Juan, San Juan 00901, Puerto Rico
(18.465441, -66.113808)"
Hyatt House San Juan,"615 Ave Fernandez de Juncos | Distrito de Convenciones, San Juan 00907, Puerto Rico",18.455944,-66.08808,"615 Ave Fernandez de Juncos | Distrito de Convenciones, San Juan 00907, Puerto Rico
(18.455944, -66.08808)"
Da House Hotel,"312 San Francisco St | Old San Juan, San Juan 00901, Puerto Rico",18.465834,-66.113335,"312 San Francisco St | Old San Juan, San Juan 00901, Puerto Rico
(18.465834, -66.113335)"
Holiday Inn Mayaquez & Tropical Casino,"2701 Hwy 2, Mayaguez 00680, Puerto Rico",18.236667,-67.1613413,"2701 Hwy 2, Mayaguez 00680, Puerto Rico
(18.236667, -67.1613413)"
Hotel Rosa del Mar,"Road 2 km 86.6 | Comercio St 1777, Hatillo 00659, Puerto Rico",18.487381,-66.815782,"Road 2 km 86.6 | Comercio St 1777, Hatillo 00659, Puerto Rico
(18.487381, -66.815782)"
The Condado Plaza Hilton,"999 Ashford Avenue, San Juan 00907, Puerto Rico (Formerly Conrad San Juan Condado Plaza)",18.461166,-66.081337,"999 Ashford Avenue, San Juan 00907, Puerto Rico (Formerly Conrad San Juan Condado Plaza)
(18.461166, -66.081337)"
The Fajardo Inn,"Parcelas Beltran #52, Fajardo 00740, Puerto Rico",18.3284,-65.637039,"Parcelas Beltran #52, Fajardo 00740, Puerto Rico
(18.3284, -65.637039)"
Culebra Beach Villas,"Flamenco Beach, Puerto Rico",18.327354,-65.315094,"Flamenco Beach, Puerto Rico
(18.327354, -65.315094)"
Hotel Miramar,"606 Ponce de Leon Avenue | Miramar, San Juan 00907, Puerto Rico",18.456551,-66.084969,"606 Ponce de Leon Avenue | Miramar, San Juan 00907, Puerto Rico
(18.456551, -66.084969)"
Rincon Beach Resort,"Road 115 km 5.8, Anasco 00610, Puerto Rico",18.295,-67.209335,"Road 115 km 5.8, Anasco 00610, Puerto Rico
(18.295, -67.209335)"
El San Juan Resort & Casino,"6063 Isla Verde Avenue, Isla Verde, Carolina 00979, Puerto Rico",18.443501,-66.018501,"6063 Isla Verde Avenue, Isla Verde, Carolina 00979, Puerto Rico
(18.443501, -66.018501)"
Dreams Hotel Puerto Rico,"109 Ave. Universidad, San Juan 00926, Puerto Rico",18.403191,-66.05452,"109 Ave. Universidad, San Juan 00926, Puerto Rico
(18.403191, -66.05452)"
Holiday Inn Express San Juan Condado,"1 Mariano Ramirez Bages | Condado, San Juan 00907, Puerto Rico (Formerly San Juan Plaza Hotel)",18.45717,-66.07576,"1 Mariano Ramirez Bages | Condado, San Juan 00907, Puerto Rico (Formerly San Juan Plaza Hotel)
(18.45717, -66.07576)"
Parador Villas del Mar Ha,"Sector Bajuras Rd 466 | Montones Beach, Isabela 00662, Puerto Rico",18.512748,-67.066112,"Sector Bajuras Rd 466 | Montones Beach, Isabela 00662, Puerto Rico
(18.512748, -67.066112)"
Ocean Front Hotel & Restaurant,"Carr #4466 | Bo. Bajuras Sector, Isabela, Puerto Rico",18.513254,-67.080531,"Carr #4466 | Bo. Bajuras Sector, Isabela, Puerto Rico
(18.513254, -67.080531)"
